Job Name,Company Name,Location,Salary,Description,Skills
Python Development Internship,Vision Insight,"Mumbai, Maharashtra",10000,"Selected intern's day-to-day responsibilities include: Responsibilities Writing reusable, testable, and efficient code Design and implementation of low-latency,…","Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
Python Developer,Ezio Solutions [P] Ltd,"Coimbatore, Tamil Nadu",NA,"Develop and configures automation processes as per defined requirements.Develop new processes using core workflow principles of Automation that are efficient,…","Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
Python Developer,smartSense Consulting Solutions,Gujarat,NA,We are looking for versatile and experienced technical additions to our development team in Gandhinagar.The position offers an extensive amount of ownership…,"Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
Jr. Developer,SpotKwik Technologies,"S D S Sanitorim, Karnataka",300000 - 500000,"Your primary focus will be to learn the codebase, gather user data, and respond to requests from senior developers.Your role in SpotKwik will include,.","Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
Python Developer,La Net Team Software Solutions,"Surat, Gujarat",15000 - 50000,We are looking for a Python Developer to join our team and help us develop and maintain various software products.Improve functionality of existing systems.,"Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
Python/Django Developer,2basetechnologies,"Kochi, Kerala",NA,"2Base is looking for Python/ Django developer to strengthen its team.In this key position, you will analyze, design, develop, maintain a test, deploy, and…","Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
Python Developer,OakNorth Bank,"Bengaluru, Karnataka",NA,OakNorth is the next-generation credit and monitoring platform that provides banks and lending institutions with the insight and foresight needed to create a…,"Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
python/odoo Developer,Capcee Technologies LLP,"Calicut, Kerala",NA,Capcee is looking for passionate Fresher's who have keen interest for python/odoo.Your confirmation will be based on your performance during the six month of…,"Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
Software Developer,FOSLIPY PVT LTD,"Mumbai, Maharashtra",2000 - 5000,Candidate should have good knowledge of Python or PHP.5 Days Job and 7 Hrs Work.A Laptop is compulsory as you will be Working Online from Home.,"Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
Python and DAta SCIENCE Developer,A2IT,"Mohali, Punjab",NA,A2IT is a leading software development company in Mohali Chandigarh with expertise in both Cloud-based Applications and Web applications.,"Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
Software Developer- Fresher,Samcomm Technologies Pvt Ltd,"Bengaluru, Karnataka",120000 - 180000,"We have a urgent requirement with one of our client.Skills : Proficiency in Python, HTML and XML.Proficiency in JavaScript is an added advantage.","Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
Python Developer,Pocreators,"Bengaluru, Karnataka",200000 - 300000,"Proven experience as a full-stack developer.We are looking for a full stack developer to produce scalable software solutions.Job Types: Full-time, Fresher.","Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
AWS Python developer,Larsen & Toubro Infotech Limited,India,NA,"Python developer + AWS experience • 5 - 8 years overall experience Mandatory Experience in Python or Py-Spark scripting to handle data load / extraction,…","Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
Sr. Python Developer,Bombay Softwares,"Ahmedabad, Gujarat",20000 - 40000,We are hiring a Python Developer.Bombay Softwares is service-based IT Company leading with software development and solutions and Mobile Apps Design &…,"Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
Python Developer,1MG,"New Delhi, Delhi",NA,"DescriptionWe are looking for Engineers with expertise and experience in designing, developing, implementing and scaling web applications for our rapidly…","Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
Senior Odoo Developer,eJam,NA,1000000 - 1500000,We plan to offer a salary of Rs.10-15 lakh per annum for senior developers (more than 5 years experience.We are looking for expert Odoo developers (5+ years…,"Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
Python Software Developer,ATTIS SYSTEMS,India,NA,Must have 3-5 years of experience.Must be at least BE/BTECH/MTech.Experienced in developing complex Python applications.,"Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
SDET/QA - Python & Django,tyutee,"Bengaluru, Karnataka",500000,This is not a 100% QA role and hence apply only if you have a testing experience in Python & Django based applications and you can also code in Python & Django.…,"Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
RPA Developer,M square media,"Indore, Madhya Pradesh",NA,Minimum 3+ years experience as an RPA developer.MSM is looking for a senior software developer (RPA mostly with Knowledge of APIs development) with experience…,"Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
Senior Odoo Developer,eJam,NA,1000000 - 1500000,We plan to offer a salary of Rs.10-15 lakh per annum for senior developers (more than 5 years experience.We are looking for expert Odoo developers (5+ years…,"Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
Junior Developer,Rakuten,"Bengaluru, Karnataka",NA,"1 to 2 years of inexperience as a software developer, software engineer, or similar role.Solid knowledge of coding languages (e.g. Java, Python, PHP JavaScript…","Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
Odoo Developer/Python Developer,WebGlobal,"Thiruvananthapuram, Kerala",NA,"Working knowledge in python web frameworks.Good understanding in JavaScript, HTML5, CSS and bootstrap.Earlier experience in Integrating Odoo platform.","Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
Python Developer Udaipur,Shaleen Management Consultants,"Udaipur, Rajasthan",425000 - 600000,Develop back-end components to improve responsiveness and overall performance.Integrate user-facing elements into applications.Rs. 4.25 Lac - 6.00 Lac.,"Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
Macro VA Developer,Morgan Stanley,"Mumbai, Maharashtra",NA,"POSTING DATE: Aug 19, 2020.PRIMARY LOCATION: Non-Japan Asia-India-Maharashtra-Mumbai (MSA).EDUCATION LEVEL: Refer to Position Description.","Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
Mobile Apps Developer,az,"Chennai, Tamil Nadu",20000 - 30000,"Flutter, GraphQL, MongoDB, Firebase, Cloud Functions, python ,Rx Dart,Google Charts, Google Cloud Platform, Linux, Database , NoSQL.","Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
Python Developer,ThinkApps Solutions Private Limited,"Bengaluru, Karnataka",500000 - 1300000,"5 Yrs exp with Python (pandas, scikit-learn, numpy).Exp with distributed parallel computing (Spark, Dask, Ray).Amazon AWS ecosystem (Lambda, EC2, RDS, EMR).","Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
Senior Python Developer,Quantsapp Private Limited,NA,500000 - 700000,"Quantsapp is India's first Option Trading Analytics platform on mobile.With ever-growing users,it makes us one of the fastest growing platforms for options…","Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
Software Developer,Aride Ocean Infoway Pvt Ltd,"Kochi, Kerala",15000 - 20000,"Aride Ocean Infoway Pvt Ltd is looking for candidates for the post of Software Engineers having good knowledge in React React Native, Nod.js ,Python and MySQL.","Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
JAVA & Python Developer,AZMOBIA TELECOM,"New Delhi, Delhi",NA,Skills Required: Strong knowledge of JAVA/C++ / | Python / Blender Python / Flask Framework / WebScraping / Panorama.Industry: IT-Software / Telecom Services.,"Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
Software Engineering - Python,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",NA,"The ideal candidate will be a strong, innovative developer who is passionate about working in a quality-focused environment, who can build strong networks to…","Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
"Python Developer (Indore, India)","BioUrja Power, LLC","Indore, Madhya Pradesh",NA,Also be able to write modular code and understand the python packaging system. Work with the business analysts to do data analysis and develop automation…,"Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
Web Development Internship,Serturner,"Mumbai, Maharashtra",10000,"We are looking for a full-stack developer to produce scalable software solutions.Should be comfortable around both front-end and back-end coding languages,…","Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
Odoo Developer,Inodoo,"Ahmedabad, Gujarat",NA,"As a developer, you will lead and participate in development-related aspects of our technical operations and infrastructure.What's great in the job?","Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
Python / Django Developer,peerbits,"Ahmedabad, Gujarat",NA,"Develop and deploy highly efficient, scalable server side applications using Python Django.Customize admin themes and html integration.","Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
Big Data Developer,Vertoz,"Mulund, Mumbai, Maharashtra",NA,VERTOZ Advertising Ltd is a leading programmatic company that offers engaging and innovative advertising and monetization solutions.,"Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
Python Developer,Husys,"Hyderabad, Telangana",120000 - 240000,"Candidate must have good knowledge in python, those who are completed the course and having some experience in python project will be highly preferred.","Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
Python Developer,Bangalore Software Services Private Limited,"Chennai, Tamil Nadu",NA,Mode: 6months to extendable or contract to Hire.Notice period: Immediate to 15days.Experience in Python with pandas.Experience in Python with pandas:,"Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
Python Developer With SEO,HR Devi and Associates,"Bengaluru, Karnataka",800000 - 1500000,Excellent hands-on with python.Building APIs and micro-services that power Manch core product.Optimize Manch content for Search Engines.,"Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
Software Engineer (Python & Odoo),Truzio Technologies,"Hyderabad, Telangana",35000,"Ideal developer should have the basic knowledge of the Odoo Framework, python, and javascript technology.For developing and improving the Odoo framework and…","Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
PHP Developer,Zrow Solutions,"Mira Road, Maharashtra",NA,Excellent knowledge of the basic PHP or web server exploits along with their solutions.Total understanding of PHP’s fully synchronous behavior.,"Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
"Data Engineer, Site Reliability",Atlassian,"Bengaluru, Karnataka",NA,We work side by side with the product family and platform developers to maintain and improve services and performance.,"Core Python,Web Frameworks,Object Relational Mappers,Data Scientists,achine Learning Skill,Artificial Intelligence,Deep Learning,Multi-Process Architecture,Analytical Skills,Design Skills,Communication Skills,Version Control,Front-End Technologies Knowledge,The Ability of Integration,Server-Side Templating Language,Event-Driven programming, Good Debugging,Unit Test Skills,Code Versioning, Database Schemas Creation Ability, Logical Thinking Ability"
